

Hiperparámetros por defecto  
        n_bins: int = 20,
        lr: float = 0.1,
        gamma: float = 0.99,
        epsilon_start: float = 1.0,
        epsilon_end: float = 0.01,
        epsilon_decay: float = 0.9995,

Resultados Entrenamiento

Episode 16200/20000 | Avg Reward: -134.51 | Epsilon: 0.0100 | States visited: 297
Episode 16300/20000 | Avg Reward: -136.11 | Epsilon: 0.0100 | States visited: 297
Episode 16400/20000 | Avg Reward: -141.19 | Epsilon: 0.0100 | States visited: 297
Episode 16500/20000 | Avg Reward: -141.86 | Epsilon: 0.0100 | States visited: 297
Episode 16600/20000 | Avg Reward: -157.00 | Epsilon: 0.0100 | States visited: 297
Episode 16700/20000 | Avg Reward: -174.39 | Epsilon: 0.0100 | States visited: 297
Episode 16800/20000 | Avg Reward: -159.87 | Epsilon: 0.0100 | States visited: 297
Episode 16900/20000 | Avg Reward: -148.26 | Epsilon: 0.0100 | States visited: 297
Episode 17000/20000 | Avg Reward: -138.64 | Epsilon: 0.0100 | States visited: 297
Episode 17100/20000 | Avg Reward: -143.46 | Epsilon: 0.0100 | States visited: 297
Episode 17200/20000 | Avg Reward: -142.40 | Epsilon: 0.0100 | States visited: 297
Episode 17300/20000 | Avg Reward: -145.84 | Epsilon: 0.0100 | States visited: 297
Episode 17400/20000 | Avg Reward: -146.15 | Epsilon: 0.0100 | States visited: 298
Episode 17500/20000 | Avg Reward: -149.66 | Epsilon: 0.0100 | States visited: 298
Episode 17600/20000 | Avg Reward: -147.35 | Epsilon: 0.0100 | States visited: 298
Episode 17700/20000 | Avg Reward: -145.71 | Epsilon: 0.0100 | States visited: 298
Episode 17800/20000 | Avg Reward: -151.64 | Epsilon: 0.0100 | States visited: 298
Episode 17900/20000 | Avg Reward: -136.62 | Epsilon: 0.0100 | States visited: 298
Episode 18000/20000 | Avg Reward: -136.31 | Epsilon: 0.0100 | States visited: 298
Episode 18100/20000 | Avg Reward: -124.99 | Epsilon: 0.0100 | States visited: 298
Episode 18200/20000 | Avg Reward: -124.07 | Epsilon: 0.0100 | States visited: 298
